type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_5281959998	5281959998_570019203401172	https://www.facebook.com/nytimes/videos/570019203401172/	"In these experiments  parrots showed how smart they are by swapping tokens for food: https://nyti.ms/2CMd74G"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38959829_569976103405482_4596384961212186624_n.jpg?_nc_cat=107&_nc_ht=scontent.xx&oh=cec329c0d0c8a0e4ef89ac4665d87860&oe=5CC62138	https://scontent.xx.fbcdn.net/v/t15.5256-10/38959829_569976103405482_4596384961212186624_n.jpg?_nc_cat=107&_nc_ht=scontent.xx&oh=713d47d43bd5cd65b6d24b71dc378731&oe=5CD1EACA	https://www.facebook.com/nytimes/videos/570019203401172/	facebook.com	2018-09-11T19:40:00+0000	1536694800	"2018-09-11 21:40:00"	4086	895	5208	3738	9841	721	69	325	2	5	0
video	post_page_5281959998	5281959998_757713841246529	https://www.facebook.com/nytimes/videos/757713841246529/	"The New York Times has confirmed the location of a new C.I.A. drone base. Here s what its existence could mean.   Read more: https://nyti.ms/2N6hKuT"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/37511741_757708911247022_7263231507936837632_n.jpg?_nc_cat=105&_nc_ht=scontent.xx&oh=f8d38fc44b4139db107a8f02042e2f6a&oe=5CC1A556	https://scontent.xx.fbcdn.net/v/t15.5256-10/37511741_757708911247022_7263231507936837632_n.jpg?_nc_cat=105&_nc_ht=scontent.xx&oh=8ea3c38c8e5df66e29c600b498094a28&oe=5CBE37A4	https://www.facebook.com/nytimes/videos/757713841246529/	facebook.com	2018-09-11T17:25:00+0000	1536686700	"2018-09-11 19:25:00"	418	224	591	168	983	7	5	84	7	70	0
video	post_page_5281959998	5281959998_1393459567455573	https://www.facebook.com/nytimes/videos/1393459567455573/	"Lesandro Guzman-Feliz  a 15-year-old known as “Junior ” left his home in the Bronx to meet with a friend. 2 hours later  he had been stabbed to death outside a Bronx bodega. We used surveillance footage to investigate what happened.  Read more: https://nyti.ms/2N8PEiZ"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38967506_1393451207456409_1770981768246067200_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=e2b68fd456c315e4cd0531a1fc0752aa&oe=5CC7FA1C	https://scontent.xx.fbcdn.net/v/t15.5256-10/38967506_1393451207456409_1770981768246067200_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=9c92cccd7dc3a593a9cd295f6b3924b6&oe=5CD4F45A	https://www.facebook.com/nytimes/videos/1393459567455573/	facebook.com	2018-09-11T16:10:00+0000	1536682200	"2018-09-11 18:10:00"	167	213	703	146	1062	4	0	19	401	112	0
video	post_page_5281959998	5281959998_207556556630960	https://www.facebook.com/nytimes/videos/207556556630960/	"Lesandro Guzman-Feliz  a 15-year-old known as “Junior ” left his home in the Bronx to meet with a friend. 2 hours later  he had been stabbed to death outside a Bronx bodega. We used surveillance footage to investigate what happened that night in June.   Read more: https://nyti.ms/2N4FPCi"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/37511612_207554163297866_1797497612136349696_n.jpg?_nc_cat=100&_nc_ht=scontent.xx&oh=f77a537c68c726d572602bcfb804bdfd&oe=5CD7D059	https://scontent.xx.fbcdn.net/v/t15.5256-10/37511612_207554163297866_1797497612136349696_n.jpg?_nc_cat=100&_nc_ht=scontent.xx&oh=e10a1d1fb0b311478272e6e42236597f&oe=5CC52BAB	https://www.facebook.com/nytimes/videos/207556556630960/	facebook.com	2018-09-10T16:25:00+0000	1536596700	"2018-09-10 18:25:00"	371	431	1678	386	2495	3	1	28	933	342	0
video	post_page_5281959998	5281959998_255788861737421	https://www.facebook.com/nytimes/videos/255788861737421/	"We ve received lots of questions from our readers about abortion  classified documents and other issues raised during the confirmation hearings for Judge Brett Kavanaugh. The Times’s Supreme Court reporter  Adam Liptak  provides some answers.  Read more: https://nyti.ms/2Mh63fE"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38953124_255785825071058_1796522860718587904_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=a7eb6ef73a7947ab0344fe5420873aa7&oe=5CBDA328	https://scontent.xx.fbcdn.net/v/t15.5256-10/38953124_255785825071058_1796522860718587904_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=7fd32127834d096b9127a91524cc69f9&oe=5CB7C9DA	https://www.facebook.com/nytimes/videos/255788861737421/	facebook.com	2018-09-10T11:30:01+0000	1536579001	"2018-09-10 13:30:01"	229	246	345	73	664	8	0	6	16	86	0
link	post_page_5281959998	5281959998_10151684641399999	https://www.facebook.com/5281959998/posts/10151684641399999/	"In The New York Times Opinion Section  Op-Ed columnist David Leonhardt writes.  Trump is certainly acting as if his business history contains damaging information. "	https://external.xx.fbcdn.net/safe_image.php?d=AQB5L9C1R5AGMUwX&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F09%2F07%2Fopinion%2F00leonhardtWeb%2F00leonhardtWeb-facebookJumbo.jpg&cfs=1&sx=469&sy=0&sw=550&sh=550&_nc_hash=AQA8HLDYOmSS-Trp	https://external.xx.fbcdn.net/safe_image.php?d=AQDJKKTBPxpJuNGj&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F09%2F07%2Fopinion%2F00leonhardtWeb%2F00leonhardtWeb-facebookJumbo.jpg&_nc_hash=AQCYqIs4EUyng9mA	https://www.nytimes.com/2018/09/09/opinion/trump-money-laundering-russia-mueller.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-09-10T04:25:00+0000	1536553500	"2018-09-10 06:25:00"	4232	614	5170	1749	7533	32	296	413	37	160	0
link	post_page_5281959998	5281959998_10151684519699999	https://www.facebook.com/5281959998/posts/10151684519699999/	"Breaking News: Novak Djokovic won the men’s U.S. Open title  defeating Juan Martín del Potro for his 14th major championship."	https://external.xx.fbcdn.net/safe_image.php?d=AQAocY0_Hne65MSH&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F09%2F10%2Fsports%2F10open-men2%2F10open-men2-facebookJumbo.jpg&cfs=1&sx=19&sy=0&sw=549&sh=549&_nc_hash=AQDPB5JoDTDuJglh	https://external.xx.fbcdn.net/safe_image.php?d=AQA5D3Z1pPiAacA9&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F09%2F10%2Fsports%2F10open-men2%2F10open-men2-facebookJumbo.jpg&_nc_hash=AQD-ssmYIeihNnTh	https://www.nytimes.com/2018/09/09/sports/tennis/us-open-novak-djokovic-juan-martin-del-potro.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-09-09T23:48:51+0000	1536536931	"2018-09-10 01:48:51"	1747	193	2020	136	2349	217	0	16	30	10	0
link	post_page_5281959998	5281959998_10151684424069999	https://www.facebook.com/5281959998/posts/10151684424069999/	"In The New York Times Opinion Section  Op-Ed contributor Albert Samaha writes   Yes  football is dangerous  but so is leaving one s future in the hands of an unequal educational system. It s no wonder the sport still feels like a winning ticket. "	https://external.xx.fbcdn.net/safe_image.php?d=AQCfcWomDR49erF2&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F09%2F09%2Fopinion%2Fsunday%2F09Samaha4%2F09Samaha4-facebookJumbo-v2.jpg&cfs=1&sx=200&sy=0&sw=550&sh=550&_nc_hash=AQAcGUzlDbJ6ti2P	https://external.xx.fbcdn.net/safe_image.php?d=AQDhjN3hwBEG8gZN&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F09%2F09%2Fopinion%2Fsunday%2F09Samaha4%2F09Samaha4-facebookJumbo-v2.jpg&_nc_hash=AQABOoMdpKWEPjW_	https://www.nytimes.com/2018/09/08/opinion/sunday/football-kids-brain-damage.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-09-09T21:25:00+0000	1536528300	"2018-09-09 23:25:00"	299	97	397	80	574	11	5	5	75	2	0
video	post_page_5281959998	5281959998_2144784929094846	https://www.facebook.com/nytimes/videos/2144784929094846/	"One of the internet’s most popular fitness personalities is a dead bodybuilder named Zyzz. We dug into his legacy.  Want more Internetting? Sign up for our newsletter:  https://nyti.ms/2NvtyTP"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38952575_2144781492428523_2157861375613861888_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=d2e56abf1e978e998d76514bd8c8f1f8&oe=5CC1B484	https://scontent.xx.fbcdn.net/v/t15.5256-10/38952575_2144781492428523_2157861375613861888_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=417822c93719e15537ae02d34f1da7cf&oe=5CCC36C2	https://www.facebook.com/nytimes/videos/2144784929094846/	facebook.com	2018-09-09T20:25:00+0000	1536524700	"2018-09-09 22:25:00"	448	237	527	77	841	10	29	29	11	0	0
video	post_page_5281959998	5281959998_1997125847244468	https://www.facebook.com/nytimes/videos/1997125847244468/	"Fans of Infowars don’t just buy into the conspiracy theories peddled by Alex Jones  they actually buy his products. Jones has amassed a fortune by pitching health products and weapons components as antidotes to the frightening worldview he broadcasts.  Read more: https://nyti.ms/2Ntw4gB"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38968448_1997119817245071_4158345352681881600_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=54cda16c0ff0f4050d35e0cf5c63f623&oe=5CC8D83A	https://scontent.xx.fbcdn.net/v/t15.5256-10/38968448_1997119817245071_4158345352681881600_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=08847cb8ebb0f7662fc149eb72c83af7&oe=5CBB487C	https://www.facebook.com/nytimes/videos/1997125847244468/	facebook.com	2018-09-09T18:25:00+0000	1536517500	"2018-09-09 20:25:00"	783	1121	3115	540	4776	16	1393	154	103	666	0
