type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_15704546335	15704546335_1811883308918807	https://www.facebook.com/FoxNews/videos/1811883308918807/	"Americans pay their respects to Sen. John McCain at the Capitol Rotunda."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38969873_1811939868913151_5128642983847002112_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=c51b3174bab46a81725b87f619effcbd&oe=5CD63A79	https://scontent.xx.fbcdn.net/v/t15.5256-10/38969873_1811939868913151_5128642983847002112_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=d5f8fe1092e0a4c1365266c3aed4137e&oe=5CD0803F	https://www.facebook.com/FoxNews/videos/1811883308918807/	facebook.com	2018-08-31T17:31:17+0000	1535736677	"2018-08-31 19:31:17"	1253	2659	2172	291	5122	252	98	14	391	164	0
video	post_page_15704546335	15704546335_241400783224389	https://www.facebook.com/FoxNews/videos/241400783224389/	"President Donald J. Trump departs Joint Base Andrews en route to North Carolina."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38954096_241414436556357_4711822678422454272_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=230c089fe047ab1da5e66757978f620a&oe=5CCCB046	https://scontent.xx.fbcdn.net/v/t15.5256-10/38954096_241414436556357_4711822678422454272_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=f71c0427c742dab20dd7d3b213fba516&oe=5CB62CB4	https://www.facebook.com/FoxNews/videos/241400783224389/	facebook.com	2018-08-31T17:18:56+0000	1535735936	"2018-08-31 19:18:56"	3215	3933	4912	413	9258	1506	45	10	13	123	0
video	post_page_15704546335	15704546335_230848304251696	https://www.facebook.com/FoxNews/videos/230848304251696/	"A ceremony is held for Senator John McCain at the U.S. Capitol. https://fxn.ws/2opUcT1"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38947554_230882674248259_7379686363597111296_n.jpg?_nc_cat=111&_nc_ht=scontent.xx&oh=006b94e322afa3bd66170099a5f4c4f6&oe=5CC59CA9	https://scontent.xx.fbcdn.net/v/t15.5256-10/38947554_230882674248259_7379686363597111296_n.jpg?_nc_cat=111&_nc_ht=scontent.xx&oh=c2e3a3e69a3dd4b3ef610febb170b057&oe=5CBB095B	https://www.facebook.com/FoxNews/videos/230848304251696/	facebook.com	2018-08-31T14:45:52+0000	1535726752	"2018-08-31 16:45:52"	1137	3458	2205	407	6070	251	96	29	385	307	0
video	post_page_15704546335	15704546335_296154021211254	https://www.facebook.com/FoxNews/videos/296154021211254/	"Miami Beach PD rushed to the rescue of three brothers after their boat capsized  stranding them in an inlet without life jackets for nearly an hour."	https://scontent.xx.fbcdn.net/v/t15.13418-10/s130x130/38007445_2160503574219429_4856332788741177344_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=9b035bf0052755937e25ae597755507d&oe=5CD15E5F	https://scontent.xx.fbcdn.net/v/t15.13418-10/38007445_2160503574219429_4856332788741177344_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=580b97d603590da302e804543e097739&oe=5CC2CAEC	https://www.facebook.com/FoxNews/videos/296154021211254/	facebook.com	2018-08-31T12:00:00+0000	1535716800	"2018-08-31 14:00:00"	598	219	772	107	1098	43	5	120	2	4	0
video	post_page_15704546335	15704546335_302179360585933	https://www.facebook.com/FoxNews/videos/302179360585933/	"Honoring John McCain: Bret Baier and Martha MacCallum are live in Washington D.C. with special coverage of John McCain lying in state at the U.S. Capitol tomorrow at 10:30a ET on Fox News Channel."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38968829_302180290585840_3404047025606492160_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=f7f06af1855510524dfe1c16e6e97f22&oe=5CB847DE	https://scontent.xx.fbcdn.net/v/t15.5256-10/38968829_302180290585840_3404047025606492160_n.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=e8cfda656938037505c3dedee039eb03&oe=5C8B2D2C	https://www.facebook.com/FoxNews/videos/302179360585933/	facebook.com	2018-08-31T02:23:09+0000	1535682189	"2018-08-31 04:23:09"	334	1044	719	68	1831	36	123	13	21	192	0
video	post_page_15704546335	15704546335_312854512854030	https://www.facebook.com/FoxNews/videos/312854512854030/	"The body of Senator John McCain arrives at Joint Base Andrews and is received with ceremony by Armed Forces Body Bearers. https://fxn.ws/2N1bNyC"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38981261_312883639517784_1354147822005387264_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=5b82b793edbc2b7f07065ae1d382ea87&oe=5CBCE733	https://scontent.xx.fbcdn.net/v/t15.5256-10/38981261_312883639517784_1354147822005387264_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=ec47a461b8fb8d362d2674de7ab2fc17&oe=5CCA37C1	https://www.facebook.com/FoxNews/videos/312854512854030/	facebook.com	2018-08-30T23:36:54+0000	1535672214	"2018-08-31 01:36:54"	2326	6080	4589	657	11326	868	114	44	880	357	0
video	post_page_15704546335	15704546335_315945035833096	https://www.facebook.com/FoxNews/videos/315945035833096/	"After losing his father in the line of duty  dozens of police officers showed up to support this kindergartner on his first day of school."	https://scontent.xx.fbcdn.net/v/t15.13418-10/p130x130/38853084_539778103138033_7970748518648250368_n.jpg?_nc_cat=107&_nc_ht=scontent.xx&oh=e3094d569df7427784fab652165a8a1a&oe=5CD36E06	https://scontent.xx.fbcdn.net/v/t15.13418-10/38853084_539778103138033_7970748518648250368_n.jpg?_nc_cat=107&_nc_ht=scontent.xx&oh=a356701c51c98b8bafad98a1c7afb1f0&oe=5CCFCD4F	https://www.facebook.com/FoxNews/videos/315945035833096/	facebook.com	2018-08-30T21:16:06+0000	1535663766	"2018-08-30 23:16:06"	2747	393	4015	651	5059	1032	1	15	220	0	0
video	post_page_15704546335	15704546335_1859626734084758	https://www.facebook.com/FoxNews/videos/1859626734084758/	"The motorcade carrying the body of Senator John McCain to depart the Arizona State Capitol and proceed to North Phoenix Baptist Church. https://fxn.ws/2MC4L3P (Courtesy: KPHO  KSAZ)"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38961381_1859684524078979_5423302174421549056_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=7e5b7691b8639cc3542d24369f498a8a&oe=5CB73DBC	https://scontent.xx.fbcdn.net/v/t15.5256-10/38961381_1859684524078979_5423302174421549056_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=c16e3e29e86c8b04ce87a80eb0519421&oe=5CD815FA	https://www.facebook.com/FoxNews/videos/1859626734084758/	facebook.com	2018-08-30T16:02:12+0000	1535644932	"2018-08-30 18:02:12"	2259	6435	5046	837	12318	919	214	41	1343	270	0
video	post_page_15704546335	15704546335_291694964895016	https://www.facebook.com/FoxNews/videos/291694964895016/	"There s no job these police officers  can not do  including helping this trapped raccoon."	https://scontent.xx.fbcdn.net/v/t15.5256-10/p130x130/38944876_291697954894717_8149711928902549504_n.jpg?_nc_cat=111&_nc_ht=scontent.xx&oh=2fc886388536ecc97d590b58ec8c9080&oe=5CCBE5DE	https://scontent.xx.fbcdn.net/v/t15.5256-10/38944876_291697954894717_8149711928902549504_n.jpg?_nc_cat=111&_nc_ht=scontent.xx&oh=31c95bce077ca1017076bab69fadd2ad&oe=5CD2DA3F	https://www.facebook.com/FoxNews/videos/291694964895016/	facebook.com	2018-08-30T13:15:00+0000	1535634900	"2018-08-30 15:15:00"	4518	631	5761	964	7356	817	362	48	12	4	0
video	post_page_15704546335	15704546335_469332150216078	https://www.facebook.com/FoxNews/videos/469332150216078/	"Visitors pay their respects as Senator John McCain lies in state in the Arizona Capitol rotunda. https://fxn.ws/2LwDg6o"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38959554_469354533547173_2965910239146147840_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=e9f77ecb1b1f72e75fe4d0afc7707a80&oe=5CD781AE	https://scontent.xx.fbcdn.net/v/t15.5256-10/38959554_469354533547173_2965910239146147840_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=bce2f64075b37a200593699b80ae6957&oe=5CD83A5C	https://www.facebook.com/FoxNews/videos/469332150216078/	facebook.com	2018-08-29T23:08:09+0000	1535584089	"2018-08-30 01:08:09"	1904	4496	3883	582	8961	623	144	26	1015	171	0
