type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_5281959998	5281959998_10151795811914999	https://www.facebook.com/5281959998/posts/10151795811914999/	"Building a border wall  ending birthright citizenship and disparaging undocumented immigrants: Rep. Steve King promoted anti-immigration views years before President Trump made them a focal point of his administration."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/48984983_284772488900961_1503100393092022272_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=e094ac42f4a2b1ef2637ee47972ef8bd&oe=5CD465AA	https://scontent.xx.fbcdn.net/v/t15.5256-10/48984983_284772488900961_1503100393092022272_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=88a67afebb9ba4ecdd80150c38322b6a&oe=5CC27B58	https://www.facebook.com/nytimes/videos/284769988901211/	facebook.com	2019-01-10T21:18:22+0000	1547155102	"2019-01-10 22:18:22"	134	354	553	86	993	3	40	12	15	349	0
video	post_page_5281959998	5281959998_10151795807849999	https://www.facebook.com/5281959998/posts/10151795807849999/	"20 years after  The Sopranos  debuted  Edie Falco and David Chase talk about how the series changed TV. And  yes  we asked them about that ending.   Read more: https://nyti.ms/2D2Ga24"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/49167784_578250569267518_6351758255663874048_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=e1ff62dc26b7069cbd283dda035cfedb&oe=5CCB532C	https://scontent.xx.fbcdn.net/v/t15.5256-10/49167784_578250569267518_6351758255663874048_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=37417614cd7b41da4437d200a7e7f1b5&oe=5CD1B6DE	https://www.facebook.com/nytimes/videos/578248762601032/	facebook.com	2019-01-10T21:10:00+0000	1547154600	"2019-01-10 22:10:00"	582	107	716	168	991	129	1	4	0	0	0
link	post_page_5281959998	5281959998_10151795725644999	https://www.facebook.com/5281959998/posts/10151795725644999/	"Secretary of State Mike Pompeo s speech in Cairo  laying out the administration’s Middle East objectives  was strikingly at odds with a famed speech made by Barack Obama in the same city nearly a decade ago. Here s a look at the ways they compare on key points."	https://external.xx.fbcdn.net/safe_image.php?d=AQA2vlfwlQARzcef&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fworld%2F11pompeo-obama-takeaways-1-sub%2F11pompeo-obama-takeaways-1-sub-facebookJumbo.jpg&cfs=1&sx=320&sy=0&sw=550&sh=550&_nc_hash=AQBLI_COlBArAHRW	https://external.xx.fbcdn.net/safe_image.php?d=AQDdf6u9bmIt3kpn&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fworld%2F11pompeo-obama-takeaways-1-sub%2F11pompeo-obama-takeaways-1-sub-facebookJumbo.jpg&_nc_hash=AQC2WaUcRKEUAqif	https://www.nytimes.com/2019/01/10/world/middleeast/pompeo-speech-obama.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-10T20:55:00+0000	1547153700	"2019-01-10 21:55:00"	113	149	270	28	447	2	5	10	47	93	0
link	post_page_5281959998	5281959998_10151795716334999	https://www.facebook.com/5281959998/posts/10151795716334999/	"The Daily Caller posted an article on Monday showing a photo that others had  falsely described as a nude selfie of Rep. Alexandria Ocasio-Cortez with an emphasis on her feet."	https://external.xx.fbcdn.net/safe_image.php?d=AQBxlRa4ebhKC0KL&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fnyregion%2F11AOC-FEET%2F11AOC-FEET-facebookJumbo.jpg&cfs=1&sx=219&sy=0&sw=550&sh=550&_nc_hash=AQAPVK7iTwHBATkf	https://external.xx.fbcdn.net/safe_image.php?d=AQCR65XvdVBd1rmi&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fnyregion%2F11AOC-FEET%2F11AOC-FEET-facebookJumbo.jpg&_nc_hash=AQCbpriouM4XuPUG	https://www.nytimes.com/2019/01/10/nyregion/alexandria-ocasio-cortez-fake-nude-photo.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-10T20:25:00+0000	1547151900	"2019-01-10 21:25:00"	3935	2959	12337	2155	17451	102	364	412	821	6703	0
link	post_page_5281959998	5281959998_10151795759039999	https://www.facebook.com/5281959998/posts/10151795759039999/	"Breaking News: Michael Cohen agreed to testify publicly before Congress next month to give  a full and credible account  of his work on behalf of Donald J. Trump."	https://external.xx.fbcdn.net/safe_image.php?d=AQCI9tw41LvlmDdO&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2Fpolitics%2F11dc-cohen%2F11dc-cohen-facebookJumbo.jpg&cfs=1&sx=219&sy=0&sw=550&sh=550&_nc_hash=AQDEEney7iCJ9i9X	https://external.xx.fbcdn.net/safe_image.php?d=AQANJIYO7NRBLrb8&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2Fpolitics%2F11dc-cohen%2F11dc-cohen-facebookJumbo.jpg&_nc_hash=AQD6aiA5dNyeXBZ6	https://www.nytimes.com/2019/01/10/us/politics/michael-cohen-testify-trump-congress.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-10T20:18:02+0000	1547151482	"2019-01-10 21:18:02"	43530	4599	56770	15505	76874	7297	3497	2394	13	39	0
link	post_page_5281959998	5281959998_10151795634609999	https://www.facebook.com/5281959998/posts/10151795634609999/	"He posted panicked videos from a New Jersey police station on to Facebook. Minutes later  he was unresponsive. Now officials are investigating how Jameek Lowery ended up dead."	https://external.xx.fbcdn.net/safe_image.php?d=AQCLQ5QvCoQhiu7J&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F10%2Fnyregion%2F10paterson-promo%2F10paterson-promo-facebookJumbo.jpg&cfs=1&_nc_hash=AQDz_mwMbHcMqq-l	https://external.xx.fbcdn.net/safe_image.php?d=AQBYoJyiy7guTybZ&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F10%2Fnyregion%2F10paterson-promo%2F10paterson-promo-facebookJumbo.jpg&_nc_hash=AQAcgHRdggqgc5SP	https://www.nytimes.com/2019/01/09/nyregion/jameek-lowery-paterson-police-video.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-10T20:10:00+0000	1547151000	"2019-01-10 21:10:00"	220	234	1422	223	1879	6	4	106	467	619	0
link	post_page_5281959998	5281959998_10151795691064999	https://www.facebook.com/5281959998/posts/10151795691064999/	"Senator Bernie Sanders s apology to women follows several recent articles describing harassment  sexism and gender discrimination in his 2016 presidential campaign."	https://external.xx.fbcdn.net/safe_image.php?d=AQCsolHPgX5JN-Uu&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2Fpolitics%2F11berniesanders%2F11berniesanders-facebookJumbo.jpg&cfs=1&sx=285&sy=0&sw=550&sh=550&_nc_hash=AQBWnveUKabDQzyN	https://external.xx.fbcdn.net/safe_image.php?d=AQA2kqxNJ9un25Ld&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fus%2Fpolitics%2F11berniesanders%2F11berniesanders-facebookJumbo.jpg&_nc_hash=AQCKw_YRqy0UB6v_	https://www.nytimes.com/2019/01/10/us/politics/sanders-sexism-apology.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-10T19:55:00+0000	1547150100	"2019-01-10 20:55:00"	396	1014	696	112	1822	25	145	25	15	90	0
link	post_page_5281959998	5281959998_10151795702319999	https://www.facebook.com/5281959998/posts/10151795702319999/	"Donald J. Trump canceled his trip to the economic conference in Davos  Switzerland  citing the “Democrats’ intransigence” on the shutdown."	https://external.xx.fbcdn.net/safe_image.php?d=AQAwFNjaDkHnQiOW&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F10%2Fus%2Fpolitics%2F11dc-davos%2F1dc-davos-facebookJumbo.jpg&cfs=1&_nc_hash=AQDGpTCGHVveN1R_	https://external.xx.fbcdn.net/safe_image.php?d=AQDBgIPCql2CwOil&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F10%2Fus%2Fpolitics%2F11dc-davos%2F1dc-davos-facebookJumbo.jpg&_nc_hash=AQD9_95i0bu6erMg	https://www.nytimes.com/2019/01/10/us/politics/trump-davos-world-economic-forum.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-10T19:25:00+0000	1547148300	"2019-01-10 20:25:00"	758	2516	5379	767	8662	36	3501	129	45	910	0
link	post_page_5281959998	5281959998_10151795699659999	https://www.facebook.com/5281959998/posts/10151795699659999/	"Breaking News: Scientists say the world s oceans are heating up faster than previously thought  a finding with dire implications for climate change."	https://external.xx.fbcdn.net/safe_image.php?d=AQDX2x9OUNXX83fp&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fclimate%2F11CLI-OCEANHEAT1%2F11CLI-OCEANHEAT1-facebookJumbo.jpg&cfs=1&_nc_hash=AQBNlLLLkgwovLux	https://external.xx.fbcdn.net/safe_image.php?d=AQCbwwkkLdR1tFYm&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F11%2Fclimate%2F11CLI-OCEANHEAT1%2F11CLI-OCEANHEAT1-facebookJumbo.jpg&_nc_hash=AQAe9xO8-8lPGSvf	https://www.nytimes.com/2019/01/10/climate/ocean-warming-climate-change.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-10T19:07:16+0000	1547147236	"2019-01-10 20:07:16"	1584	524	7015	4223	11762	11	28	300	3840	1252	0
link	post_page_5281959998	5281959998_10151795618874999	https://www.facebook.com/5281959998/posts/10151795618874999/	"The U.S. government has built nearly 700 miles of wall and fencing since 2006. President Trump wants to build a new wall that could cost $25 billion."	https://external.xx.fbcdn.net/safe_image.php?w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F02%2F06%2Fus%2Fborder-alpha%2Fborder-alpha-facebookJumbo-v8.jpg&cfs=1&_nc_hash=AQA9BAaTKQzdq7iB	https://external.xx.fbcdn.net/safe_image.php?d=AQD-t9mIexk-Cym0&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F02%2F06%2Fus%2Fborder-alpha%2Fborder-alpha-facebookJumbo-v8.jpg&_nc_hash=AQDwoOhV4GpolNld	https://www.nytimes.com/interactive/2018/02/05/us/border-wall.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-10T18:55:00+0000	1547146500	"2019-01-10 19:55:00"	1461	846	2587	1862	5295	30	57	186	35	818	0
