type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_15704546335	15704546335_10157727626906336	https://www.facebook.com/15704546335/posts/10157727626906336/	"The president told reporters on The White House lawn that he has an “absolute right” to declare a national emergency  as the government enters day 20 of the partial shutdown."	https://external.xx.fbcdn.net/safe_image.php?d=AQAQ4JalDxse11nB&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F10%2F694940094001_5987927703001_5987925585001-vs.jpg&cfs=1&_nc_hash=AQAqqPMeXaTcjBey	https://external.xx.fbcdn.net/safe_image.php?d=AQD-LZhqoZhlESdP&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F10%2F694940094001_5987927703001_5987925585001-vs.jpg&_nc_hash=AQCjfWgDSi53PGHF	https://www.foxnews.com/politics/trump-en-route-to-border-ramps-up-warning-he-could-declare-national-emergency	foxnews.com	2019-01-10T16:20:50+0000	1547137250	"2019-01-10 17:20:50"	9830	5002	12025	1050	18077	1846	214	18	6	111	0
video	post_page_15704546335	15704546335_210313483254659	https://www.facebook.com/FoxNews/videos/210313483254659/	"Speaker Nancy Pelosi holds her weekly news conference."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/49133797_210336753252332_586264053811249152_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=b874206ef4dded33ea8df783c8ae6a21&oe=5CB70086	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/49133797_210336753252332_586264053811249152_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=0dfa9bb2cab2e1d620e9d2d988c3833f&oe=5CCD389D	https://www.facebook.com/FoxNews/videos/210313483254659/	facebook.com	2019-01-10T16:01:06+0000	1547136066	"2019-01-10 17:01:06"	1238	30152	16482	753	47387	426	2355	73	201	12189	0
link	post_page_15704546335	15704546335_10157727496611336	https://www.facebook.com/15704546335/posts/10157727496611336/	"President Donald J. Trump reportedly distributed  stacks of candy   including M&M’s  Skittles  Butterfingers and Baby Ruth bars  during his Wednesday meeting with congressional leaders  sources say."	https://external.xx.fbcdn.net/safe_image.php?d=AQAiC80YQzuJQ-84&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F09%2F694940094001_5987690096001_5987686405001-vs.jpg&cfs=1&sx=448&sy=0&sw=720&sh=720&_nc_hash=AQA34CDaf0X59YJM	https://external.xx.fbcdn.net/safe_image.php?d=AQCI5hR8my5A4Xay&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F09%2F694940094001_5987690096001_5987686405001-vs.jpg&_nc_hash=AQCT_3MvCTVV74eF	https://www.foxnews.com/food-drink/trump-offered-pelosi-and-schumer-candy-during-meeting	foxnews.com	2019-01-10T16:00:03+0000	1547136003	"2019-01-10 17:00:03"	14862	7388	29692	3047	40127	2241	12404	99	16	70	0
video	post_page_15704546335	15704546335_10157727471456336	https://www.facebook.com/FoxNews/videos/507281849761623/	"“Compromise is in my vocabulary  very strongly. So  we’re either going to have a win  make a compromise…or I will declare a national emergency.”  Moments ago  President Donald J. Trump said he has the “absolute right” to declare a national emergency over border security amid the ongoing partial government shutdown. https://fxn.ws/2D0sWmq"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/49774385_751962905176473_2446882858971693056_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=7ca31812472975d9e44f8ba79dde2288&oe=5CD6F250	https://scontent.xx.fbcdn.net/v/t15.5256-10/49774385_751962905176473_2446882858971693056_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=e13bdd775a9cb6433bb1223f3909104f&oe=5CBCB7A2	https://www.facebook.com/FoxNews/videos/507281849761623/	facebook.com	2019-01-10T15:26:02+0000	1547133962	"2019-01-10 16:26:02"	10213	7367	14847	3511	25725	4119	361	30	13	111	0
video	post_page_15704546335	15704546335_2135246790118912	https://www.facebook.com/FoxNews/videos/2135246790118912/	"The Senate meets. Senator Chuck Schumer delivers remarks."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/49151503_2135249663451958_4301123191020978176_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=0f0db6c0dfc222ce6760c683a64c6449&oe=5C8CBCFE	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/49151503_2135249663451958_4301123191020978176_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=cab699d57530637b1c05a41c1cb516bd&oe=5CC471E0	https://www.facebook.com/FoxNews/videos/2135246790118912/	facebook.com	2019-01-10T15:24:36+0000	1547133876	"2019-01-10 16:24:36"	695	14029	7895	404	22328	132	1061	31	89	5887	0
video	post_page_15704546335	15704546335_2287533238183467	https://www.facebook.com/FoxNews/videos/2287533238183467/	"House Majority Whip James E. Clyburn and senior members of the Whip team hold a news conference."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/49165693_2287545498182241_5685130372992466944_n.jpg?_nc_cat=106&_nc_ht=scontent.xx&oh=4e9bdb73ba319b5e6a3b97a30ee5cbe9&oe=5CCD852E	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/49165693_2287545498182241_5685130372992466944_n.jpg?_nc_cat=106&_nc_ht=scontent.xx&oh=7623a05b61d039fcf2a97d6f92b7b0ae&oe=5CD0BE30	https://www.facebook.com/FoxNews/videos/2287533238183467/	facebook.com	2019-01-10T15:15:20+0000	1547133320	"2019-01-10 16:15:20"	365	8292	3787	190	12269	94	453	25	44	2806	0
video	post_page_15704546335	15704546335_1404038929731370	https://www.facebook.com/FoxNews/videos/1404038929731370/	"The Senate meets. Senator Mitch McConnell delivers remarks."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/49495907_1404068103061786_775512987321499648_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=15b0a0e88f08e657468bfcd76708697b&oe=5CB77D96	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/49495907_1404068103061786_775512987321499648_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=41c9dc69c1c3700f2255070f2f6a2b4f&oe=5CC71594	https://www.facebook.com/FoxNews/videos/1404038929731370/	facebook.com	2019-01-10T15:09:22+0000	1547132962	"2019-01-10 16:09:22"	5311	6168	7730	3671	17569	2048	102	25	19	225	0
video	post_page_15704546335	15704546335_332122640723503	https://www.facebook.com/FoxNews/videos/332122640723503/	"President Donald J. Trump departs Joint Base Andrews en route to Texas."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/49178198_332134884055612_8527054965116502016_n.jpg?_nc_cat=107&_nc_ht=scontent.xx&oh=18da6dc6d0dbae5b8cfb5ddeafd54979&oe=5CD01B98	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/49178198_332134884055612_8527054965116502016_n.jpg?_nc_cat=107&_nc_ht=scontent.xx&oh=6f63ff6b80d50f4c7bae2ab2bb4e940c&oe=5CD04B9A	https://www.facebook.com/FoxNews/videos/332122640723503/	facebook.com	2019-01-10T14:57:11+0000	1547132231	"2019-01-10 15:57:11"	4197	4245	7122	564	11931	2717	61	17	9	121	0
photo	post_page_15704546335	15704546335_10157724997341336	https://www.facebook.com/15704546335/posts/10157724997341336/	"In a new op-ed  Newt Gingrich discussed President Donald J. Trump s Tuesday night address from the Office compared to House Speaker Nancy Pelosi and Senator Chuck Schumer s response. https://fxn.ws/2HgDLVF"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/49802145_10157724996966336_3991787689174106112_n.jpg?_nc_cat=108&_nc_ht=scontent.xx&oh=95f0a1556deafdf1518d5d8eb2405d16&oe=5CCECA14	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/49686431_10157724996961336_6525495296309329920_o.jpg?_nc_cat=109&_nc_ht=scontent.xx&oh=1c954cc3ab5fc8c697ee0e59d62ca4f4&oe=5CD830A4	https://www.facebook.com/FoxNews/photos/a.184044921335/10157724996956336/?type=3	facebook.com	2019-01-10T14:45:00+0000	1547131500	"2019-01-10 15:45:00"	5695	1864	6919	453	9236	838	351	8	4	23	0
video	post_page_15704546335	15704546335_10157724056096336	https://www.facebook.com/15704546335/posts/10157724056096336/	" The president s fighting not just for the wall  but he s fighting for border security.   Wednesday on  Fox & Friends   White House Press Secretary Sarah Sanders reacted to the president s first Oval Office address."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/49617904_1945461665749290_1140346974235525120_n.jpg?_nc_cat=111&_nc_ht=scontent.xx&oh=954fc2d6ec789a3b3af8a192add1197a&oe=5CD40497	https://scontent.xx.fbcdn.net/v/t15.5256-10/49617904_1945461665749290_1140346974235525120_n.jpg?_nc_cat=111&_nc_ht=scontent.xx&oh=86cc0e3ef674b57fafdbe3f4355c5214&oe=5CC796D1	https://www.facebook.com/FoxNews/videos/1945458899082900/	facebook.com	2019-01-10T14:15:00+0000	1547129700	"2019-01-10 15:15:00"	4993	2593	6098	1224	9915	834	229	5	5	32	0
