type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_5281959998	5281959998_10151785688854999	https://www.facebook.com/5281959998/posts/10151785688854999/	"Part hippie  part hipster  the activists of Generation Identity are one result of a broad image makeover the far right has tried to give itself in recent years."	https://external.xx.fbcdn.net/safe_image.php?d=AQBicV8Dek18BGdx&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F24%2Fworld%2F24Generation-Identity1-hp%2F24Generation-Identity1-hp-facebookJumbo-v2.jpg&cfs=1&sx=391&sy=0&sw=550&sh=550&_nc_hash=AQBMBltQki8UjHCY	https://external.xx.fbcdn.net/safe_image.php?d=AQAkBV-PyrdB7QqE&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F24%2Fworld%2F24Generation-Identity1-hp%2F24Generation-Identity1-hp-facebookJumbo-v2.jpg&_nc_hash=AQAeSmPGuyaAvXHy	https://www.nytimes.com/2018/12/27/world/europe/germany-far-right-generation-identity.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T08:55:30+0000	1545987330	"2018-12-28 09:55:30"	177	499	664	161	1324	423	134	289	1734	3	19	49	23	393	0
link	post_page_5281959998	5281959998_10151785161809999	https://www.facebook.com/5281959998/posts/10151785161809999/	"In The New York Times Opinion Section  Dr. Richard Friedman writes   The explosive popularity of CBD is way ahead of any evidence to support its efficacy — or reliable reassurances that it has no serious adverse effects. "	https://external.xx.fbcdn.net/safe_image.php?d=AQBycH5NFdvZWH-c&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F26%2Fopinion%2F26richardfriedman%2F26richardfriedman-facebookJumbo.jpg&cfs=1&_nc_hash=AQApjtaSe5WVVmhX	https://external.xx.fbcdn.net/safe_image.php?d=AQDapWfbQqAUF5Em&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F26%2Fopinion%2F26richardfriedman%2F26richardfriedman-facebookJumbo.jpg&_nc_hash=AQDxwkelFxgJRavR	https://www.nytimes.com/2018/12/26/opinion/cbd-cannabis-health-anxiety.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T08:25:00+0000	1545985500	"2018-12-28 09:25:00"	280	330	343	157	830	301	182	119	1088	4	15	17	1	26	0
link	post_page_5281959998	5281959998_10151785176869999	https://www.facebook.com/5281959998/posts/10151785176869999/	" There’s never a collective occasion to set a goal  but New Year’s provides a very convenient excuse to have those conversations with yourself and people you know. "	https://external.xx.fbcdn.net/safe_image.php?d=AQBH3YBmmnrdoY6X&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F21%2Fsmarter-living%2Ftheedit_resolution%2Ftheedit_resolution-facebookJumbo.jpg&cfs=1&_nc_hash=AQD4Qx-9bfl-aVaS	https://external.xx.fbcdn.net/safe_image.php?d=AQBr19B_Pd94kifJ&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F21%2Fsmarter-living%2Ftheedit_resolution%2Ftheedit_resolution-facebookJumbo.jpg&_nc_hash=AQAJqJEvM9qR3SsF	https://www.nytimes.com/2018/12/27/smarter-living/the-edit-new-years-resolutions.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T07:25:00+0000	1545981900	"2018-12-28 08:25:00"	80	12	86	32	130	10	10	0	4	3	0	3	0	0	0
link	post_page_5281959998	5281959998_10151785203829999	https://www.facebook.com/5281959998/posts/10151785203829999/	"“It’s not about how your journal looks  it’s about how it makes you feel and how effective it is   writes Ryder Carroll in his book “The Bullet Journal Method.”"	https://external.xx.fbcdn.net/safe_image.php?d=AQBkLfwQT5oWgqqS&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fbooks%2F28self-helpledbulletjournal1%2F28self-helpledbulletjournal1-facebookJumbo.png&cfs=1&_nc_hash=AQCch29MHmCqF8Rl	https://external.xx.fbcdn.net/safe_image.php?d=AQADxEGa23AbrJ5x&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fbooks%2F28self-helpledbulletjournal1%2F28self-helpledbulletjournal1-facebookJumbo.png&_nc_hash=AQC_DFYaQVd2ZNuU	https://www.nytimes.com/2018/12/27/books/how-to-bullet-journal.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T06:25:00+0000	1545978300	"2018-12-28 07:25:00"	235	47	247	84	378	36	30	6	10	11	1	0	0	0	0
link	post_page_5281959998	5281959998_10151785189199999	https://www.facebook.com/5281959998/posts/10151785189199999/	"Culture officials of Italy s nationalistic right-wing government are accusing the French of trying to appropriate Leonardo da Vinci after the Louvre requested a loan of several of his masterpieces for a major exhibit."	https://external.xx.fbcdn.net/safe_image.php?d=AQAHoOlUULC8yH5f&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F26%2Fworld%2Fxxleonardo1%2Fxxleonardo1-facebookJumbo.jpg&cfs=1&sx=333&sy=0&sw=550&sh=550&_nc_hash=AQC55qOcZqh_pO5A	https://external.xx.fbcdn.net/safe_image.php?d=AQAlAZE9h8mWbum0&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F26%2Fworld%2Fxxleonardo1%2Fxxleonardo1-facebookJumbo.jpg&_nc_hash=AQD372BfU5jGhl9I	https://www.nytimes.com/2018/12/27/world/europe/italy-leonardo-da-vinci-france-louvre.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T05:25:00+0000	1545974700	"2018-12-28 06:25:00"	215	279	474	115	868	239	91	148	672	10	27	124	21	77	0
link	post_page_5281959998	5281959998_10151785223954999	https://www.facebook.com/5281959998/posts/10151785223954999/	"If you only have one to-do list  you re doing it wrong."	https://external.xx.fbcdn.net/safe_image.php?d=AQBkLfwQT5oWgqqS&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fbooks%2F28self-helpledbulletjournal1%2F28self-helpledbulletjournal1-facebookJumbo.png&cfs=1&_nc_hash=AQCch29MHmCqF8Rl	https://external.xx.fbcdn.net/safe_image.php?d=AQADxEGa23AbrJ5x&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fbooks%2F28self-helpledbulletjournal1%2F28self-helpledbulletjournal1-facebookJumbo.png&_nc_hash=AQC_DFYaQVd2ZNuU	https://www.nytimes.com/2018/12/27/books/how-to-bullet-journal.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T04:55:00+0000	1545972900	"2018-12-28 05:55:00"	250	31	272	95	398	31	31	0	9	17	1	4	0	0	0
link	post_page_5281959998	5281959998_10151785140169999	https://www.facebook.com/5281959998/posts/10151785140169999/	"The industry of white-noise generators is exploding  with a chorus of apps  websites  playlists and more. But how many gizmos are needed to achieve your optimum sleep environment? And why?"	https://external.xx.fbcdn.net/safe_image.php?d=AQALzWnx0QEKpkLA&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F27%2Ffashion%2F27WALLOFSOUND%2F27WALLOFSOUND-facebookJumbo.jpg&cfs=1&sx=262&sy=0&sw=550&sh=550&_nc_hash=AQBbOvgP595DIhI7	https://external.xx.fbcdn.net/safe_image.php?url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F27%2Ffashion%2F27WALLOFSOUND%2F27WALLOFSOUND-facebookJumbo.jpg&_nc_hash=AQDh0K-kmmdtwVCl	https://www.nytimes.com/2018/12/27/style/white-noise-machines.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T04:25:00+0000	1545971100	"2018-12-28 05:25:00"	146	88	158	38	284	80	45	35	85	5	0	6	0	1	0
link	post_page_5281959998	5281959998_10151785221594999	https://www.facebook.com/5281959998/posts/10151785221594999/	"Many junior pilots in the military felt that their leaders were ignoring or playing down their hypoxia  because they couldn’t replicate the problem or find an easy fix."	https://external.xx.fbcdn.net/safe_image.php?d=AQCIX676xkwvWQ_E&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fmagazine%2F28atwar-hypoxia-1%2Fmerlin_52978344_1c0708f8-746c-4e2c-82f8-fe7415b63ef2-facebookJumbo.jpg&cfs=1&_nc_hash=AQBJRGKsIiJPv49-	https://external.xx.fbcdn.net/safe_image.php?d=AQBVRN54sEwF0m43&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fmagazine%2F28atwar-hypoxia-1%2Fmerlin_52978344_1c0708f8-746c-4e2c-82f8-fe7415b63ef2-facebookJumbo.jpg&_nc_hash=AQDk9UC6qcDpE1Iq	https://www.nytimes.com/2018/12/27/magazine/air-force-hypoxia-pilots-navy.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T03:55:00+0000	1545969300	"2018-12-28 04:55:00"	275	39	433	82	554	34	22	12	69	1	97	6	9	45	0
link	post_page_5281959998	5281959998_10151785229029999	https://www.facebook.com/5281959998/posts/10151785229029999/	"In The New York Times Opinion Section  Elizabeth Drew  a journalist who covered Watergate  writes   An impeachment process against President Trump now seems inescapable. "	https://external.xx.fbcdn.net/safe_image.php?d=AQDxWmdDsVZ7YQSm&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F27%2Fopinion%2F27Drew%2F27Drew-facebookJumbo.jpg&cfs=1&_nc_hash=AQCP-UU321zwsSvD	https://external.xx.fbcdn.net/safe_image.php?d=AQCx2FkicAi6kp2Z&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F27%2Fopinion%2F27Drew%2F27Drew-facebookJumbo.jpg&_nc_hash=AQAv8Bjnwqm94rYM	https://www.nytimes.com/2018/12/27/opinion/trump-impeachment-resign-drew.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T03:25:00+0000	1545967500	"2018-12-28 04:25:00"	12111	2570	14662	2314	19546	2241	1044	1197	8875	1718	168	575	19	71	0
link	post_page_5281959998	5281959998_10151785239044999	https://www.facebook.com/5281959998/posts/10151785239044999/	"Why do people use opioids? And why is it so hard for them to stop? We invited readers to share their stories with us."	https://external.xx.fbcdn.net/safe_image.php?d=AQBn41cp15_IGIc9&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F22%2Fus%2F00opiod-responses%2F22HEROINE-refer-facebookJumbo.jpg&cfs=1&_nc_hash=AQCL1vdxYkSMIqEa	https://external.xx.fbcdn.net/safe_image.php?d=AQAKzWHz0lcglpoR&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F22%2Fus%2F00opiod-responses%2F22HEROINE-refer-facebookJumbo.jpg&_nc_hash=AQCHKxnPtSdtO3ai	https://www.nytimes.com/2018/12/27/us/opioid-addiction-reader-response.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T02:55:00+0000	1545965700	"2018-12-28 03:55:00"	225	269	295	150	714	241	60	181	773	27	9	2	32	0	0
link	post_page_5281959998	5281959998_10151785156864999	https://www.facebook.com/5281959998/posts/10151785156864999/	"While school crossing guards have long shepherded children across the street  the city’s traffic has become so perilous that now even grown-ups need crossing guards."	https://external.xx.fbcdn.net/safe_image.php?d=AQAo-LZAg0Kh9TNU&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F20%2Fnyregion%2F00pedestrian01%2F00pedestrian01-facebookJumbo.jpg&cfs=1&sx=249&sy=0&sw=549&sh=549&_nc_hash=AQBedAytAKIQPKpa	https://external.xx.fbcdn.net/safe_image.php?d=AQA4p5ddaNmFg1K-&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F20%2Fnyregion%2F00pedestrian01%2F00pedestrian01-facebookJumbo.jpg&_nc_hash=AQChOUkUAwguwZxJ	https://www.nytimes.com/2018/12/27/nyregion/ny-traffic-walking-pedestrians.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T02:25:00+0000	1545963900	"2018-12-28 03:25:00"	183	59	293	55	407	52	41	11	59	2	46	44	16	2	0
link	post_page_5281959998	5281959998_10151785342404999	https://www.facebook.com/5281959998/posts/10151785342404999/	"A dad didn’t want his 25-year-old daughter to spend her first Christmas as a Delta Air Lines flight attendant alone  so he flew with her on 6 flights over three days."	https://external.xx.fbcdn.net/safe_image.php?d=AQDZX5gE1hvAukUN&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2F28xp-flights%2F28xp-flights-facebookJumbo.jpg&cfs=1&sx=248&sy=0&sw=550&sh=550&_nc_hash=AQBJLmlLP8xZN9kW	https://external.xx.fbcdn.net/safe_image.php?d=AQA9lUjOafZAxK-c&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2F28xp-flights%2F28xp-flights-facebookJumbo.jpg&_nc_hash=AQBANkhVdIESN4eu	https://www.nytimes.com/2018/12/27/us/dad-daughter-flight-attendant-christmas.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T01:55:00+0000	1545962100	"2018-12-28 02:55:00"	22547	1251	34756	1517	37524	1204	670	534	6456	11711	396	76	19	7	0
link	post_page_5281959998	5281959998_10151785170899999	https://www.facebook.com/5281959998/posts/10151785170899999/	"What happened with Trump s tax cut  one year later? Many corporations made good on promises to raise wages and pay bonuses. But others announced layoffs  even as the $1.5 trillion tax cut added billions to their bottom lines."	https://external.xx.fbcdn.net/safe_image.php?d=AQBzYJ6RwBXgWWHe&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F26%2Fbusiness%2F00dc-tax-01%2F00dc-tax-01-facebookJumbo.jpg&cfs=1&sx=34&sy=0&sw=549&sh=549&_nc_hash=AQAJA1YQsBipq2Lo	https://external.xx.fbcdn.net/safe_image.php?d=AQBsS8a1Al2lNTBC&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F26%2Fbusiness%2F00dc-tax-01%2F00dc-tax-01-facebookJumbo.jpg&_nc_hash=AQA7nVYQyztzNtUn	https://www.nytimes.com/2018/12/27/us/politics/trump-tax-cuts-jobs-act.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T01:25:00+0000	1545960300	"2018-12-28 02:25:00"	584	495	1673	561	2729	442	255	187	1912	4	68	173	98	746	0
link	post_page_5281959998	5281959998_10151785358099999	https://www.facebook.com/5281959998/posts/10151785358099999/	"The police in California’s Central Valley are hunting for a man who they believe killed a police officer and is in the country illegally  according to authorities."	https://external.xx.fbcdn.net/safe_image.php?d=AQB01S3zP5gfhzaw&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2F28californiacop-print%2F28californiacop-facebookJumbo.jpg&cfs=1&sx=112&sy=0&sw=549&sh=549&_nc_hash=AQBTO5snbrUFbWCj	https://external.xx.fbcdn.net/safe_image.php?d=AQDzg6rnS-TLw3rl&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2F28californiacop-print%2F28californiacop-facebookJumbo.jpg&_nc_hash=AQCWsMVd2jkTxoW8	https://www.nytimes.com/2018/12/27/us/california-police-killing-undocumented-immigrant.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T01:11:48+0000	1545959508	"2018-12-28 02:11:48"	359	1064	1072	155	2291	946	346	600	3048	10	25	18	487	173	0
link	post_page_5281959998	5281959998_10151785102649999	https://www.facebook.com/5281959998/posts/10151785102649999/	"Coconut milk gives this slow-cooker butter chicken its creamy richness."	https://external.xx.fbcdn.net/safe_image.php?d=AQBbg7EayaUjMaw-&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2017%2F07%2F12%2Fmultimedia%2F12crowdrex-copy%2F12crowdrex-videoSixteenByNineJumbo1600.jpg&cfs=1&_nc_hash=AQB_oQHxW-yzZhPO	https://external.xx.fbcdn.net/safe_image.php?d=AQBCECdgaq2_zXs3&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2017%2F07%2F12%2Fmultimedia%2F12crowdrex-copy%2F12crowdrex-videoSixteenByNineJumbo1600.jpg&_nc_hash=AQBjnPxKjxQgGuB7	https://cooking.nytimes.com/recipes/1018803-slow-cooker-butter-chicken?smid=fb-nytimes&smtyp=cur	cooking.nytimes.com	2018-12-28T00:55:00+0000	1545958500	"2018-12-28 01:55:00"	837	140	920	611	1671	129	84	45	79	64	18	1	0	0	0
link	post_page_5281959998	5281959998_10151785015314999	https://www.facebook.com/5281959998/posts/10151785015314999/	"The Trump administration and Republicans in Congress have been rolling back at least 78 environmental rules over the last two years. Here are all of them."	https://external.xx.fbcdn.net/safe_image.php?d=AQCta7ypPcsvmF7_&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F07%2F06%2Fus%2Fenvironment-rules-reversed-trump-promo-1530854517535%2Fenvironment-rules-reversed-trump-promo-1530854517535-facebookJumbo.png&cfs=1&_nc_hash=AQBjkIrmFnn1yVhH	https://external.xx.fbcdn.net/safe_image.php?d=AQBLpSaS9-uqzgCy&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F07%2F06%2Fus%2Fenvironment-rules-reversed-trump-promo-1530854517535%2Fenvironment-rules-reversed-trump-promo-1530854517535-facebookJumbo.png&_nc_hash=AQD0_qhA1iPNgJ8T	https://www.nytimes.com/interactive/2017/10/05/climate/trump-environment-rules-reversed.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T00:25:00+0000	1545956700	"2018-12-28 01:25:00"	1428	849	13714	11773	26336	791	554	237	3697	30	211	14	2020	10011	0
link	post_page_5281959998	5281959998_10151785043384999	https://www.facebook.com/5281959998/posts/10151785043384999/	"The internet can be  shall we say  a lot. But here are 5 times it was actually fun in 2018."	https://external.xx.fbcdn.net/safe_image.php?d=AQDhX-9VNqCDaBQP&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F11%2F05%2Fautossell%2F05XP-GRITTY%2F00XP-GRITTY-facebookJumbo.jpg&cfs=1&_nc_hash=AQBSnqV6O3gbxelV	https://external.xx.fbcdn.net/safe_image.php?d=AQAXR1LD7gM2POl9&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F11%2F05%2Fautossell%2F05XP-GRITTY%2F00XP-GRITTY-facebookJumbo.jpg&_nc_hash=AQDiyn2d1Ic4YkoW	https://www.nytimes.com/2018/12/27/style/best-memes-2018.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-27T23:55:00+0000	1545954900	"2018-12-28 00:55:00"	231	14	265	30	309	14	12	2	4	10	0	23	1	0	0
link	post_page_5281959998	5281959998_10151785251369999	https://www.facebook.com/5281959998/posts/10151785251369999/	"News analysis: With his abrupt order to withdraw all American troops from Syria and half from Afghanistan  Donald J. Trump managed to do something remarkable: unite the left and right."	https://external.xx.fbcdn.net/safe_image.php?d=AQDJgVpmQ0LEib1l&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2Fpolitics%2F28dc-prexy%2F28dc-prexy-facebookJumbo.jpg&cfs=1&sx=496&sy=0&sw=550&sh=550&_nc_hash=AQC65EowrWSFPJWv	https://external.xx.fbcdn.net/safe_image.php?d=AQBRRFXkomMUGf0y&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2Fpolitics%2F28dc-prexy%2F28dc-prexy-facebookJumbo.jpg&_nc_hash=AQBI0V7EndbQ2CSr	https://www.nytimes.com/2018/12/27/us/politics/trump-syria-afghanistan-withdraw.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-27T23:25:00+0000	1545953100	"2018-12-28 00:25:00"	2050	834	3161	497	4492	741	421	320	2077	31	167	826	22	65	0
link	post_page_5281959998	5281959998_10151785245419999	https://www.facebook.com/5281959998/posts/10151785245419999/	"Republican leaders gave up hope on Thursday of reopening the government before 2019  leaving the border wall impasse to House Democrats."	https://external.xx.fbcdn.net/safe_image.php?d=AQBxl5Ix66OgQLyX&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2Fpolitics%2F28dc-cong1%2F28dc-cong1-facebookJumbo.jpg&cfs=1&_nc_hash=AQAclh-HutaamSJJ	https://external.xx.fbcdn.net/safe_image.php?d=AQBwmz9y5Polg6W1&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2Fpolitics%2F28dc-cong1%2F28dc-cong1-facebookJumbo.jpg&_nc_hash=AQDHvyGXBWyKQjB9	https://www.nytimes.com/2018/12/27/us/politics/government-shutdown-trump-democrats.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-27T22:55:00+0000	1545951300	"2018-12-27 23:55:00"	818	800	1875	245	2920	735	403	332	6327	30	88	226	88	625	0
