type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_5281959998	5281959998_10151785756889999	https://www.facebook.com/5281959998/posts/10151785756889999/	"In The New York Times Opinion Section  the Editorial Board writes: In the United States  pregnant women who fall down the stairs  who take legal drugs during pregnancy — drugs prescribed by their doctors — have been accused of endangering their children and charged with a felony. How did we get to this point?"	https://external.xx.fbcdn.net/safe_image.php?d=AQAnIBuY7GU6Lo0W&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F26%2Fopinion%2Fpregnancy-women-pro-life-abortion-1545991795164%2Fpregnancy-women-pro-life-abortion-1545991795164-facebookJumbo.jpg&cfs=1&_nc_hash=AQB-uTGDHq0GtKES	https://external.xx.fbcdn.net/safe_image.php?url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F26%2Fopinion%2Fpregnancy-women-pro-life-abortion-1545991795164%2Fpregnancy-women-pro-life-abortion-1545991795164-facebookJumbo.jpg&_nc_hash=AQBIWmJgiVslgOiW	https://www.nytimes.com/interactive/2018/12/28/opinion/pregnancy-women-pro-life-abortion.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T14:25:00+0000	1546007100	"2018-12-28 15:25:00"	803	1181	3319	968	5468	1027	303	724	8726	14	158	13	538	1793	0
link	post_page_5281959998	5281959998_10151785740844999	https://www.facebook.com/5281959998/posts/10151785740844999/	"For a few minutes last night  it seemed as if the world was ending."	https://external.xx.fbcdn.net/safe_image.php?d=AQDu3SyXAfASsJvJ&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fnyregion%2F28nytoday-rooftop%2F28nytoday-rooftop-facebookJumbo.png&cfs=1&_nc_hash=AQBpkk2V7tyXLPvL	https://external.xx.fbcdn.net/safe_image.php?d=AQDqkz4TvMETx1Lq&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fnyregion%2F28nytoday-rooftop%2F28nytoday-rooftop-facebookJumbo.png&_nc_hash=AQAqzbDwV6napd0P	https://www.nytimes.com/2018/12/28/nyregion/newyorktoday/transformer-explosion-blue-light.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T13:55:00+0000	1546005300	"2018-12-28 14:55:00"	1036	227	1386	246	1859	206	137	69	715	14	276	60	0	0	0
link	post_page_5281959998	5281959998_10151785751674999	https://www.facebook.com/5281959998/posts/10151785751674999/	"Demand for Tesla’s electric cars could weaken starting Tuesday  when its customers will become eligible for only half a $7 500 federal tax credit."	https://external.xx.fbcdn.net/safe_image.php?d=AQBv2mwytJfGS3gn&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fbusiness%2F28TESLA-01%2F28TESLA-01-facebookJumbo.jpg&cfs=1&_nc_hash=AQAZZcsIjrL6DXis	https://external.xx.fbcdn.net/safe_image.php?d=AQCFSQnP5D1TVkgz&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fbusiness%2F28TESLA-01%2F28TESLA-01-facebookJumbo.jpg&_nc_hash=AQB3tnKAHXOZnQpq	https://www.nytimes.com/2018/12/28/business/tesla-car-sales-taxes.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T13:25:00+0000	1546003500	"2018-12-28 14:25:00"	116	207	222	37	466	191	39	152	363	2	23	7	57	17	0
link	post_page_5281959998	5281959998_10151785716319999	https://www.facebook.com/5281959998/posts/10151785716319999/	"There was a boom; then a hum. The lights flickered. A giant plume of smoke filled the sky  and turned it blue.   We thought it was a U.F.O.   said an Astoria resident."	https://external.xx.fbcdn.net/safe_image.php?d=AQBRxA7qkjILO1mb&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fnyregion%2F28xp-explosion-sub-print%2F28xp-explosion-sub-facebookJumbo.jpg&cfs=1&_nc_hash=AQCotnYLHFyjysYb	https://external.xx.fbcdn.net/safe_image.php?d=AQBiaBjC1gR37t30&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fnyregion%2F28xp-explosion-sub-print%2F28xp-explosion-sub-facebookJumbo.jpg&_nc_hash=AQChBMC6-Cp5HPCP	https://www.nytimes.com/2018/12/27/nyregion/blue-sky-queens-explosion.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T12:55:00+0000	1546001700	"2018-12-28 13:55:00"	1336	440	2140	654	3234	408	290	118	954	27	601	166	5	5	0
link	post_page_5281959998	5281959998_10151785735614999	https://www.facebook.com/5281959998/posts/10151785735614999/	"In October  a group of girls in Brooklyn shared their thoughts with us about the Kavanaugh controversy. After that conversation aired  a listener in Oregon interviewed her two sons and one of their friends."	https://external.xx.fbcdn.net/safe_image.php?d=AQDhlcnNjAGuHB8A&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2F28daily1%2F28daily1-facebookJumbo.jpg&cfs=1&sx=361&sy=0&sw=549&sh=549&_nc_hash=AQBQ68jjLorIMiTY	https://external.xx.fbcdn.net/safe_image.php?d=AQAv1jTV6ik9jnlX&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fus%2F28daily1%2F28daily1-facebookJumbo.jpg&_nc_hash=AQBKH5u7_ZLIIYRD	https://www.nytimes.com/2018/12/28/podcasts/the-daily/kavanaugh-assault-men-boys-respond.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T12:25:00+0000	1545999900	"2018-12-28 13:25:00"	439	848	622	81	1551	725	147	578	3961	2	15	24	61	81	0
link	post_page_5281959998	5281959998_10151785726864999	https://www.facebook.com/5281959998/posts/10151785726864999/	"Italy’s under secretary accused France of trying to culturally appropriate Leonardo da Vinci for an exhibition at the Louvre celebrating the 500th anniversary of his death."	https://external.xx.fbcdn.net/safe_image.php?d=AQDFWRQpO4Oex8vX&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fworld%2F28leonardo1-print%2Fxxleonardo1-facebookJumbo.jpg&cfs=1&sx=333&sy=0&sw=550&sh=550&_nc_hash=AQB6bNwKyEh55bt1	https://external.xx.fbcdn.net/safe_image.php?d=AQAG2tbyqTI4PvtS&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F28%2Fworld%2F28leonardo1-print%2Fxxleonardo1-facebookJumbo.jpg&_nc_hash=AQDzQmBpf7kMvu-e	https://www.nytimes.com/2018/12/27/world/europe/italy-leonardo-da-vinci-france-louvre.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T11:55:00+0000	1545998100	"2018-12-28 12:55:00"	224	219	422	77	718	195	72	123	538	2	21	118	16	41	0
link	post_page_5281959998	5281959998_10151785722329999	https://www.facebook.com/5281959998/posts/10151785722329999/	"More than 40 years after the Netherlands caused an environmental calamity  an ambitious solution is showing signs of enormous promise."	https://external.xx.fbcdn.net/safe_image.php?d=AQBd0LA6n4jkXI1J&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F27%2Fworld%2F27Dutch-dam-print%2F25Dutch-dam1-facebookJumbo.jpg&cfs=1&sx=413&sy=0&sw=550&sh=550&_nc_hash=AQBJe9EuypPuNTv4	https://external.xx.fbcdn.net/safe_image.php?d=AQC0i6-mdrpfh4qS&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F27%2Fworld%2F27Dutch-dam-print%2F25Dutch-dam1-facebookJumbo.jpg&_nc_hash=AQCRe_KCKS33gZh9	https://www.nytimes.com/2018/12/26/world/europe/netherlands-fake-islands.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T11:25:00+0000	1545996300	"2018-12-28 12:25:00"	246	11	279	53	343	11	6	5	8	25	7	0	0	1	0
link	post_page_5281959998	5281959998_10151785720714999	https://www.facebook.com/5281959998/posts/10151785720714999/	"A boat that has been transformed into a bar-slash-event-space-slash-food-market is of one of Munich s new night life spots that could give Berlin a run for its money."	https://external.xx.fbcdn.net/safe_image.php?d=AQCTObhthLlmQxGv&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F30%2Ftravel%2F30munich-headsup1%2F30munich-headsup1-facebookJumbo.jpg&cfs=1&_nc_hash=AQBsvWA78Rb0pvEe	https://external.xx.fbcdn.net/safe_image.php?d=AQAVIeocceqIQ-VR&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F30%2Ftravel%2F30munich-headsup1%2F30munich-headsup1-facebookJumbo.jpg&_nc_hash=AQDggaMOHxjpljo2	https://www.nytimes.com/2018/12/28/travel/munich-nightlife-boat-bridge.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T11:00:48+0000	1545994848	"2018-12-28 12:00:48"	310	153	359	117	629	132	91	41	105	23	10	15	1	0	0
link	post_page_5281959998	5281959998_10151785706889999	https://www.facebook.com/5281959998/posts/10151785706889999/	"Global investors on Friday followed Wall Street s positive momentum from the day before  despite new indicators of concern for global growth."	https://external.xx.fbcdn.net/safe_image.php?w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F11%2F20%2Fbusiness%2Fdealbook%2Flive-markets-chart-asia-1542759310367%2Flive-markets-chart-asia-1542759310367-facebookJumbo.jpg&cfs=1&_nc_hash=AQCSt4EyB2QoUGbl	https://external.xx.fbcdn.net/safe_image.php?d=AQCqhQlGPrr4dpM0&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F11%2F20%2Fbusiness%2Fdealbook%2Flive-markets-chart-asia-1542759310367%2Flive-markets-chart-asia-1542759310367-facebookJumbo.jpg&_nc_hash=AQC9S6Zv-T0K--l9	https://www.nytimes.com/2018/12/28/business/global-stock-market.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T10:00:26+0000	1545991226	"2018-12-28 11:00:26"	65	23	72	8	103	19	14	5	14	3	1	3	0	0	0
link	post_page_5281959998	5281959998_10151785698544999	https://www.facebook.com/5281959998/posts/10151785698544999/	"The Netflix show is releasing just one episode for its fifth season  and the viewer decides what will happen next."	https://external.xx.fbcdn.net/safe_image.php?d=AQBi0nF7da9E-Kks&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F30%2Farts%2F30blackmirror1%2F30blackmirror1-facebookJumbo.jpg&cfs=1&sx=426&sy=0&sw=550&sh=550&_nc_hash=AQAyuasgdqwYBew7	https://external.xx.fbcdn.net/safe_image.php?d=AQDQq86l2NoAMpWL&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F12%2F30%2Farts%2F30blackmirror1%2F30blackmirror1-facebookJumbo.jpg&_nc_hash=AQCZz1aWhEObonrj	https://www.nytimes.com/2018/12/28/arts/television/black-mirror-netflix-interactive.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2018-12-28T09:26:13+0000	1545989173	"2018-12-28 10:26:13"	1248	421	1548	255	2224	412	283	129	284	126	169	4	1	0	0
